LocalGovernment,Community Amenities,Economic Services,Education and Welfare	,General Purpose Funding	,Governance,Health,Housing,Law Order Public Safety,Other Property and Services,Recreation and Culture,Transport	
Albany,8186615,3865687,1442807,644131,4152664,610828,0,1999435,2515654,16422455,19424428
Armadale,20376780,2937411,3591985,1117307,3572683,1559029,0,2654038,820906,21359349,28355770
Ashburton,6056665,6019286,365777,1346947,5249804,652100,1020006,855318,2531516,7870580,10940872
Augusta Margaret River,2981524,850236,277475,1041043,6325344,482168,0,1261954,187785,7510503,9158888
Bassendean,6459297,236305,4837668,661869,797949,2583269,857835,557760,0,4670921,400503
Bayswater,11526746,1665020,11145497,703580,5668156,2180358,116554,2240286,2513525,27081206,7964905
Belmont,7314093,2128855,4161679,2988824,7317471,979804,546481,3086206,2708363,12582777,9228635
Beverley,529537,289364,93872,49974,326822,123489,232043,214655,8878,982970,1754092
Boddington,784521,788284,532128,24998,107073,256260,80567,549946,87357,1253034,2256364
Boyup Brook,254990,387778,143178,102795,302668,928412,176770,163755,50311,833706,2996048
Bridgetown-Greenbushes,1341704,553503,134125,157893,954077,89482,30776,691923,91606,2230421,4099875
Brookton,483779,103957,3922686,210839,600587,48475,124665,260316,75297,803798,1040575
Broome,7598668,1411039,742261,380972,8241505,723080,645306,1384565,2477471,9313554,7285896
Broomehill-Tambellup,468262,215579,6036,242234,562414,63927,42897,159586,41779,819073,2020715
Bruce Rock,178394,662468,99339,154479,625691,301247,333809,121431,255654,1549351,2372930
Bunbury,7459379,1080541,324341,447019,4023305,1029793,0,1448311,15790074,14731658,7487212
Busselton,11376752,3486355,147878,1179899,5021133,1168389,1035254,2540537,992008,15501266,13929608
Cambridge,5884899,551212,1723323,575735,1760104,568040,0,1435864,2601923,17734494,8221307
Canning,20883199,2873318,18370286,0,7735302,2616059,1274797,3913946,6846499,39702638,18769380
Capel,3037072,874627,2246073,230616,504002,488978,0,706096,200722,3707205,5862714
Carnamah,232254,144231,54931,91943,268480,39068,356280,174426,177798,906516,1745771
Carnarvon,2430826,1272775,997896,165437,1519590,600318,182916,1696202,16188,4414277,10275920
Chapman Valley,1002221,175354,3448,201514,384992,21527,28728,182015,89156,460950,1444233
Chittering,1805038,621136,163320,353720,1023829,280215,257423,926499,278250,1359047,2149103
Christmas Island,2031950,49761,583861,745006,148658,173318,169878,300039,518751,2392580,3570620
Claremont,2502398,2112845,170485,547197,1366347,341787,0,269839,16990,5574695,4014628
Cockburn,29943002,2478111,13030111,1068489,9919116,2298026,0,5326612,1672060,26082512,24583064
Cocos Islands,758105,286474,196051,73531,256465,30590,692506,45536,78414,694031,617595
Collie,3299739,487263,977543,191344,572315,200429,2653,740467,248743,2765341,3190065
Coolgardie,1805011,782972,336376,108750,772540,142082,318376,258788,620899,3255292,3915232
Coorow,564688,158953,90480,213598,787853,123416,48227,367696,395727,1529535,3106062
